,band,best5
0,A2,21
1,A3,21
2,A2,20
3,A3,21
4,B5,20
5,A1,20
6,A3,21
7,A3,21
8,A2,20
9,A1,20
10,A2,21
11,A3,20
12,D11,19
13,C8,20
14,B4,19
15,A3,20
16,B4,21
17,B4,19
18,A1,26
19,A1,24
20,A2,25
21,A3,24
22,A1,29
23,A3,22
24,C10,16
25,B5,20
26,A1,19
27,A3,17
28,A1,20
29,A1,20
30,E17,20
31,A3,18
32,A1,21
33,A1,22
34,A1,21
35,A1,21
36,A3,21
37,A2,20
38,A1,22
39,A1,22
40,A1,22
41,A3,23
42,A3,27
43,A3,19
44,A2,23
45,A1,25
46,A2,20
47,A1,21
48,A3,20
49,A2,27
50,A1,22
51,A1,22
52,A2,26
53,A2,25
54,A1,25
55,A1,23
56,A1,24
57,A1,24
58,A2,27
59,A1,23
60,A2,25
61,A1,21
62,A1,21
63,A1,21
64,A1,28
65,A1,21
