HKU,Programme Code,Programme Name,,Notice,Web Crawel
,JS6925,"	Bachelor of Engineering in Biomedical Engineering",,2018 new subject,https://www.jupas.edu.hk/en/programme/hku/JS6925/
,JS6949,Bachelor of Biomedical Sciences,,,https://www.jupas.edu.hk/en/programme/hku/JS6949/
,JS6951,"	Bachelor of Engineering in Engineering Science",,,https://www.jupas.edu.hk/en/programme/hku/JS6951/
,"	JS6963",Bachelor of Engineering,,CS,https://www.jupas.edu.hk/en/programme/hku/JS6963/
,,,,,
,,,,,
,,,,,
CUHK,JS4401,Engineering,,,https://www.jupas.edu.hk/en/programme/cuhk/JS4401/
,JS4434,BEng in Electronic Engineering,,,https://www.jupas.edu.hk/en/programme/cuhk/JS4434/
,"	JS4460",BEng in Biomedical Engineering,,,https://www.jupas.edu.hk/en/programme/cuhk/JS4460/
,"	JS4462",BEng in Energy and Environmental Engineering,,,
,,,,,
,,,,,
CITYU,JS1204,BSc Computer Science,,,
,JS1205,"Department of Electronic Engineering (options:BEng Computer&Data Engineering, BEng Electronic&Communication Engineering, BEng Information Engineering)",,,
,JS1207,"Department of Mechanical and Biomedical Engineering (options: BEng Biomedical Engineering,BEng Mechanical Engineering,BEng Nuclear & Risk Engineering)",,,
,JS1209,"	BEng Systems Engineering and Management",,,
,JS1201,"	BEng Materials Engineering",,,
,,,,,
,,,,,
POLYU,JS3868,"	Broad Discipline of Computing",,,
,JS3026,HD in Building Services Engineering,,,
,JS3038,HD in Building Technology & Management (Engineering),,,
,JS3040,"	HD in Chemical Technology",,,
,JS3052,HD in Civil Engineering,,,
,JS3064,HD in Electrical Engineering,,,
,JS3076,HD in Electronic & Information Engineering,,,
,JS3117,HD in Industrial & Systems Engineering,,,
,JS3313,Broad Discipline of Engineering,,,
,JS3351,"	BEng (Hons) in Transportation Systems Engineering",,,
,JS3507,"	BEng (Hons) in Aviation Engineering",,,
,JS3557,BEng (Hons) Scheme in Product and Industrial Engineering,,,
,JS3571,BSc (Hons) Scheme in Logistics and Enterprise Engineering,,,
,JS3600,"	BSc (Hons) in Biomedical Engineering",,,
,JS3703,BEng (Hons) in Electronic & Information Engineering,,,
,JS3715,BEng (Hons) in Electrical Engineering,,,
,JS3739,BEng (Hons) in Civil Engineering,,,
,JS3741,BEng (Hons) Scheme in Mechanical Engineering,,,
,JS3753,BEng (Hons) in Building Services Engineering,,,
