"JUPAS Application and Admission Data Extracted and ""Estimated"" from different sources:",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PolyU CS program,,,,,,,,,,PolyU Broad Disciple Business,,,,,,,,,,PolyU Nursing program,,,,,,,,
,,,DSE score reported by ATU,,,Predicted score from PolyU,,,,,,,DSE score reported by ATU,,,Estimated score from PolyU,,,,,,,DSE score reported by ATU,,,Estimated score from PolyU,,
Year,Band A Appl,Band A Offer,Max,Min,Average,Max,Min,Average,,Year,Band A Appl,Band A Offer,Max,Min,Average,Max,Min,Average,,Year,Band A Appl,Band A Offer,Max,Min,Average,Max,Min,Average
2017,950,76,21,20,20.5,,,20.5,,2017,583,65,23,20,22,,,22,,2017,1452,157,27,23,24.8,,,24.1
2016,566,65,25,19,21.9,,,20.9,,2016,925,70,24,22,23,,,22.9,,2016,1691,157,26,22,24.1,,,24.1
2015,694,69,25,20,21.8,,,22.1,,2015,968,67,30,22,23.2,,,22.9,,2015,2008,146,30,22,24.3,,,24.3
2014,776,67,31,20,22.6,,,22,,2014,1149,69,26,22,23.2,,,22.8,,2014,2339,154,29,22,23.9,,,23.8
2013,1046,63,26,21,23.1,,,22.1,,2013,1067,66,26,22,22.9,,,22.9,,2013,2549,154,27,22,24,,,23.7
2012,489,73,23,19,20.5,,,20.6,,2012,731,64,27,21,23.1,,,22,,2012,2138,168,26,21,22.7,,,22.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BU Science program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to BU website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,,
2017,1491,154,22,19,20.6,21,20,20.23,,,,,,,,,,,,,,,,,,,,
2016,1361,145,22,19,21.1,22,20,20.53,,,,,,,,,,,,,,,,,,,,
2015,2101,177,23,21,21.8,22,21,21.2,,,,,,,,,,,,,,,,,,,,
2014,2282,153,23,21,21.8,22,21,21.4,,,,,,,,,,,,,,,,,,,,
2013,2272,119,25,21,22.1,23,21,21.8,,,,,,,,,,,,,,,,,,,,
2012,2499,141,23,20,21.3,22,20,21.1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKU Eng program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to HKU website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,1090,365,33,22,25.8,26,24,23,25.2,,,,,,,,,,,,,,,,,,,
2016,1194,359,32,22,26.1,27,25,24,25.9,,,,,,,,,,,,,,,,,,,
2015,1057,356,32,22,26.6,27,26,24,25.4,,,,,,,,,,,,,,,,,,,
2014,1021,318,33,23,27,28,26,25,26.8,,,,,,,,,,,,,,,,,,,
2013,703,257,32,24,27.7,28,27,25,27.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKU Science program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to HKU website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,1086,313,32,22,24.5,25,24,23,24.3,,,,,,,,,,,,,,,,,,,
2016,1037,318,34,22,25.6,26,24,23,25.1,,,,,,,,,,,,,,,,,,,
2015,1181,318,30,23,25.6,26,25,24,25.7,,,,,,,,,,,,,,,,,,,
2014,1062,326,31,23,26.1,27,25,24,26.1,,,,,,,,,,,,,,,,,,,
2013,1139,338,33,23,27.4,28,26,25,26.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKU BBA program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to HKU website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,375,137,28,25,26.7,26,25,24,25.8,,,,,,,,,,,,,,,,,,,
2016,420,164,34,25,28,28,27,26,27.2,,,,,,,,,,,,,,,,,,,
2015,524,160,34,24,28.3,28,27,27,27.7,,,,,,,,,,,,,,,,,,,
2014,518,160,30,26,28.2,29,28,27,28.3,,,,,,,,,,,,,,,,,,,
2013,621,155,31,26,28.3,29,28,27,28.1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKU Nursing program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to HKU website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,986,105,28,24,24.7,25,24,24,24.4,,,,,,,,,,,,,,,,,,,
2016,803,115,27,23,24.6,25,24,24,24.6,,,,,,,,,,,,,,,,,,,
2015,940,113,26,24,24.6,26,25,24,24.5,,,,,,,,,,,,,,,,,,,
2014,1417,110,29,24,25.2,25,24,24,24.9,,,,,,,,,,,,,,,,,,,
2013,613,101,29,22,25.2,25,24,23,24.2,,,,,,,,,,,,,,,,,,,
2012,1008,102,30,22,24.5,25,24,23,23.8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUHK Engineering program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to CUHK website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,1905,431,29,18,21.8,22,21,20,21.7,,,,,,,,,,,,,,,,,,,
2016,2151,377,26,20,22.3,23,22,21,22.5,,,,,,,,,,,,,,,,,,,
2015,1746,366,32,21,22.9,23,22,21,21.6,,,,,,,,,,,,,,,,,,,
2014,2531,362,33,21,23.9,25,23,22,23.5,,,,,,,,,,,,,,,,,,,
2013,1808,360,29,21,23.4,24,23,22,23.4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUHK Science program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to CUHK website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,1870,403,33,21,23.9,25,23,22,23.8,,,,,,,,,,,,,,,,,,,
2016,1106,381,31,21,23.9,26,24,22,24.1,,,,,,,,,,,,,,,,,,,
2015,1284,378,33,23,25.8,27,26,24,25.4,,,,,,,,,,,,,,,,,,,
2014,1261,388,32,19,26.3,28,27,24,26,,,,,,,,,,,,,,,,,,,
2013,1255,365,32,23,26.9,29,27,25,26.9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUHK BBA program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to CUHK website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,1034,211,29,24,25.9,26,25,25,25.1,,,,,,,,,,,,,,,,,,,
2016,796,205,29,24,25.6,26,25,24,25.4,,,,,,,,,,,,,,,,,,,
2015,789,193,29,25,26.5,27,26,25,26.3,,,,,,,,,,,,,,,,,,,
2014,899,192,35,25,26.8,28,27,25,26.7,,,,,,,,,,,,,,,,,,,
2013,792,190,31,24,26.7,28,27,25,26.6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUHK Nursing program,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DSE score reported by ATU,,,Estimated score according to CUHK website,,,,,,,,,,,,,,,,,,,,,,
Year,Band A Appl,Band A Offer,Max,Min,Average,UpperQ,Median,LowerQ,Average,,,,,,,,,,,,,,,,,,,
2017,802,162,28,24,26.3,27,26,25,26.1,,,,,,,,,,,,,,,,,,,
